"","labcode","depth","bp","std","afbd"
"242","W5126",147.5,3500,90,0.040248863520767
"243","W5129",297.5,3860,100,0.040248863520767
"244","W5131",457.5,7630,60,0.040248863520767
"245","W4825",507.5,7700,110,0.040248863520767
"246","W4802",522.5,9000,90,0.040248863520767
"385","W-5495",224.5,8020,250,0.040248863520767
"1100","CAMS-136981",35,730,30,0.0325
"2100","CAMS-136982",95,1660,35,0.0275
"3100","CAMS-135723",143,7850,40,0.0374
"4100","CAMS-135724",179,8220,35,0.0305
"5100","CAMS-135725",209,8360,40,0.036
"610","CAMS-135726",253,8705,35,0.05025
"710","CAMS-135727",317,9455,35,0.021
"810","CAMS-135795",353,9580,70,0.02
"910","CAMS-135728",391,11820,130,0.021
"2121","94508",25.9,150,25,0.068088
"2131","46999",37.6,110,15,0.0542615384615384
"2141","94509",49.9,270,20,0.083
"2151","47000",62.8,905,15,0.131760000096192
"2161","94510",75.4,1220,25,0.0699874999900358
"2171","47001",84.5,1310,15,0.0469624999969625
"2181","94511",93.4,2490,20,0.0669974999979975
"2191","47002",106.7,3585,15,0.083967500009675
"2201","47003",129,4185,15,0.080037500030375
"2211","47004",152.4,4655,15,0.088
"2221","47005",174.9,5565,20,0.077
"2231","47006",197.4,7770,25,0.0845000000000001
"2241","47007",219.9,8700,20,0.0695333333333333
"2251","47008",245,9325,20,0.073
"2261","47009",261.1,9920,25,0.0822683335092665
"2271","47010",285.4,9990,20,0.083692307692308
"3271","UCIAMS-42052",50.5,385,20,0.032
"3281","42053",70.5,1520,20,0.043
"3291","42054",100.5,4390,80,0.042
"3301","42055",124.5,5055,20,0.04
"3311","UCIAMS 105034",8.75,2390,20,0.074
"3321","105035",27.25,4160,20,0.119
"3331","97984",47.25,3545,15,0.055
"3341","97985",94,4715,15,0.065
"3351","97986",144,5460,15,0.068
"3361","97987",214,5630,15,0.052
"3591","UCIAMS89807",79.5,2205,25,0.067
"3601","UCIAMS89808",95.5,2850,15,0.066
"3611","UCIAMS89809",145.5,4135,20,0.066
"3621","UCIAMS82703",161.5,4760,15,0.059
"3631","UCIAMS81702",187.5,6045,20,0.06
"3641","UCIAMS81450",203.5,6605,20,0.061
"3651","UCIAMS89811",211.5,6780,20,0.034
"3661","UCIAMS82700",215.5,9980,20,0.054
"3671","UCIAMS82701",234.5,11360,50,0.054
"3681","UCIAMS81449",243.5,11885,35,0.058
"3691","UCIAMS69779",256.5,11880,250,0.06
"4731","CAMS-114297",21,140,40,0.04
"4741","CAMS-131915",45,3840,80,0.036
"4751","CAMS-123586",89,4810,160,0.055
"4761","CAMS-131916",109,3310,90,0.039
"4771","CAMS-131917",121,8305,40,0.036
"4781","CAMS-123587",153,9480,35,0.047
"4791","CAMS-114299",197,9890,45,0.048
"4801","CAMS-114300",237,11910,40,0.072
"4811","CAMS-114301",249,12245,45,0.058
"4821","CAMS-123588",282,12290,40,0.0266666666666667
"1662","unk-001",58,1430,30,0.044577734
"1663","unk-002",154,1495,25,0.044577734
"1664","unk-003",133,3400,30,0.044577734
"1695","UCIT21038",175,7830,20,0.044577734
"1696","UCIT21024",405,10435,20,0.044577734
"1703","UCIAMS-112292",42,150,20,0.044577734
"1718","85702",190,8190,25,0.044577734
"1725","UCIAMS-69779",256.5,11880,250,0.044577734
"1746","OS-83579",112.5,8170,50,0.044577734
"1747","OS-83513",30,890,25,0.044577734
"1758","UCI",59,475,15,0.044577734
"1775","OS-83647   ",26.5,1390,20,0.02947276
"1776","OS-83648   ",26.5,1280,15,0.02947276
"1777","OS-83921   ",56.5,2630,55,0.03046352
"1778","OS-83927   ",71.5,3560,45,0.02928288
"1779","OS-87459   ",152.5,5700,40,0.018095
"1780","OS-84809   ",272.5,8120,410,0.0141517
"1781","OS-84810   ",362.5,8830,470,0.0160411
"1782","OS-83753  ",375,8790,35,0.014241
"1783","CAMS-2529",480,10090,80,0.026554063
"1784","CAMS-2530",480,10000,80,0.026939118
"1785","ETH-14794",480,10350,85,0.027662296
"1786","ETH-14795",480,10430,80,0.026798335
"1787","ETH-14796",480,10380,95,0.026691188
"1788","ETH-14797",481,10220,60,0.0275374
"1789","ETH-14798",483,10460,95,0.027999312
"1790","CAMS-2527",483,10120,70,0.027999312
"1791","ETH-14799",491,10500,95,0.025100387
"1792","CAMS-2528",491,10460,80,0.025100387
"1793","ETH-14800",497,10690,85,0.024663091
"1794","ETH-14801",501,10570,100,0.024371561
"1795","ETH-14802",505,10350,95,0.02408003
"1796","ETH-14803",509,10250,100,0.02307529
"1797","ETH-14804",513,10470,65,0.022072133
"1798","ETH-14805",517,11080,90,0.029023411
"1799","ETH-14806",521,10860,70,0.035974688
"1800","ETH-14807",549,10990,70,0.037588884
"1801","ETH-14808",553,11340,180,0.040818336
"1802","ETH-14809",557,11410,85,0.040592595
"1803","BETA-26607",577,13420,20,0.040592595
"1804","OS-86052",38,585,50,0.055992667
